Model,Iteration,b value,Delta_1,Delta_2,"F(G,h)",Epsilon,Uncertainty_1,Uncertainty_2,Lower bound,Loss without Opt Lower bound,Loss with Boostrap,Loss with Theory,Loss Small,Loss Oracle
Neural Net,0,1.1,0.01,0.0005,0.1133,0.0714,0.1244,0.0002,inf,0.0758 ± 0.0011,0.24,0.0555,0.286,0.1046
Neural Net,1,1.1,0.01,0.0005,0.1441,0.0719,0.1171,0.0001,inf,0.0759 ± 0.0012,0.24,0.063,0.286,0.1046
Neural Net,2,1.1,0.01,0.0005,0.1618,0.0664,0.1144,0.0001,inf,0.0754 ± 0.0016,0.24,0.0658,0.286,0.1046
Neural Net,3,1.1,0.01,0.0005,0.1738,0.0633,0.1132,0.0001,inf,0.0748 ± 0.0013,0.24,0.067,0.286,0.1046
Neural Net,4,1.1,0.01,0.0005,0.1815,0.0598,0.1124,0.0001,0.0075,0.0755 ± 0.0012,0.242,0.0678,0.286,0.1046
Neural Net,5,1.1,0.01,0.0005,0.1875,0.0582,0.1117,0.0001,0.015,0.0758 ± 0.0014,0.24,0.0685,0.286,0.1046
Neural Net,6,1.1,0.01,0.0005,0.1918,0.0568,0.1112,0.0001,0.0208,0.0758 ± 0.0013,0.24,0.069,0.286,0.1046
Neural Net,7,1.1,0.01,0.0005,0.1949,0.0554,0.1109,0.0001,0.0252,0.0757 ± 0.0012,0.24,0.0693,0.286,0.1046
Neural Net,8,1.1,0.01,0.0005,0.1969,0.0532,0.1108,0.0001,0.0292,0.0762 ± 0.0011,0.24,0.0694,0.286,0.1046
Neural Net,9,1.1,0.01,0.0005,0.1998,0.0527,0.1106,0.0001,0.0327,0.0757 ± 0.0008,0.24,0.0696,0.286,0.1046
Neural Net,10,1.1,0.01,0.0005,0.2025,0.0515,0.1105,0.0001,0.0366,0.0761 ± 0.0010,0.24,0.0697,0.286,0.1046
Neural Net,11,1.1,0.01,0.0005,0.2047,0.0511,0.1103,0.0001,0.0391,0.0757 ± 0.0010,0.238,0.0699,0.286,0.1046
Neural Net,12,1.1,0.01,0.0005,0.2059,0.0501,0.1103,0.0001,0.0413,0.0755 ± 0.0015,0.24,0.0699,0.286,0.1046
Neural Net,13,1.1,0.01,0.0005,0.2076,0.049,0.1101,0.0001,0.0442,0.0762 ± 0.0012,0.24,0.0701,0.286,0.1046
Neural Net,14,1.1,0.01,0.0005,0.2083,0.048,0.11,0.0001,0.0458,0.0760 ± 0.0017,0.24,0.0702,0.286,0.1046
